,date,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
310,2021- 07- 09,151.5,1404.0,111.0,14530.0,330.0,3430.0
311,2021- 07- 08,152.25,1390.25,110.1,22960.0,510.0,4260.0
312,2021- 07- 07,149.95,1386.5,109.15,21580.0,800.0,4800.0
313,2021- 07- 06,148.1,1363.75,109.92,33310.0,590.0,5330.0
314,2021- 07- 02,153.05,1451.75,108.65,17390.0,1540.0,5070.0
315,2021- 07- 01,156.4,1446.75,107.3,30770.0,2180.0,11330.0
316,2021- 06- 30,159.75,1450.0,107.47,17610.0,4560.0,6820.0
317,2021- 06- 29,160.2,1359.75,106.97,18270.0,20510.0,6110.0
318,2021- 06- 28,162.7,1357.0,104.95,24050.0,51280.0,7000.0
319,2021- 06- 25,157.8,1329.75,101.95,17530.0,97440.0,7800.0
320,2021- 06- 24,153.4,1371.25,100.03,13740.0,57350.0,17050.0
321,2021- 06- 23,153.9,1385.0,104.53,14100.0,65950.0,11360.0
322,2021- 06- 22,152.1,1394.5,107.53,16079.999999999998,67600.0,11510.0
323,2021- 06- 21,154.05,1415.0,107.05,23800.0,64080.0,15400.0
324,2021- 06- 18,151.95,1396.0,108.67,28560.0,100860.0,21640.0
325,2021- 06- 17,151.6,1329.75,111.0,26090.0,121980.0,19950.0
326,2021- 06- 16,155.45,1448.5,115.5,23230.0,74800.0,17660.0
327,2021- 06- 15,153.25,1465.75,118.5,30470.0,103080.0,14210.0
328,2021- 06- 14,156.2,1472.25,122.88,35270.0,106170.0,1900.0
329,2021- 06- 11,159.6,1508.5,122.67,27950.0,155420.0,2700.0
330,2021- 06- 10,160.8,1544.0,122.45,29990.0,144530.0,4070.0000000000005
331,2021- 06- 09,159.3,1562.5,121.95,22280.0,117030.0,5690.0
332,2021- 06- 08,159.85,1580.0,120.7,26930.0,141920.0,5150.0
333,2021- 06- 07,162.2,1560.25,119.9,27920.0,145330.0,8020.0
334,2021- 06- 04,163.65,1583.75,119.5,17240.0,80380.0,7170.0
335,2021- 06- 03,159.65,1549.25,119.38,16720.0,91790.0,5980.0
336,2021- 06- 02,163.15,1562.5,118.25,11000.0,93700.0,8400.0
337,2021- 06- 01,163.05,1548.5,118.62,18510.0,97370.0,8520.0
338,2021- 05- 28,164.3,1530.5,117.25,16450.0,74560.0,10090.0
339,2021- 05- 27,157.3,1537.0,115.72,13940.0,87610.0,7060.0
340,2021- 05- 26,157.65,1503.5,115.28,9590.0,101220.0,8180.0
341,2021- 05- 25,152.45,1511.75,115.25,7250.0,98160.0,13190.0
342,2021- 05- 24,151.0,1522.75,113.35,4580.0,78380.0,9570.0
343,2021- 05- 21,152.1,1526.25,114.22,4340.0,87020.0,14160.0
344,2021- 05- 20,152.95,1533.25,112.25,6710.0,74950.0,16190.000000000002
345,2021- 05- 19,152.9,1538.25,110.95,7340.0,125740.0,12980.0
346,2021- 05- 18,152.8,1574.25,110.65,22290.0,100080.0,20810.0
347,2021- 05- 17,145.75,1587.5,108.65,14920.0,84850.0,15750.0
348,2021- 05- 14,145.0,1603.75,111.15,16720.0,20.0,210.0
349,2021- 05- 13,146.4,1612.25,111.47,16900.0,200.0,330.0
350,2021- 05- 12,146.5,1660.5,111.8,19250.0,170.0,210.0
351,2021- 05- 11,150.1,1637.5,111.47,20130.0,130.0,290.0
352,2021- 05- 10,148.05,1620.0,111.9,18900.0,400.0,230.0
353,2021- 05- 07,152.9,1621.0,111.97,24250.0,510.0,380.0
354,2021- 05- 06,154.3,1605.5,111.4,34400.0,590.0,360.0
355,2021- 05- 05,149.85,1582.0,111.38,31410.0,630.0,320.0
356,2021- 05- 04,140.35,1577.0,111.15,14980.0,1620.0,460.0
357,2021- 05- 03,140.25,1560.25,110.7,15620.0,1620.0,410.0
358,2021- 04- 30,141.45,1571.0,110.12,20420.0,4670.0,460.0
359,2021- 04- 29,143.0,1542.5,108.72,17430.0,22540.0,700.0
360,2021- 04- 28,145.85,1557.75,111.28,17310.0,66000.0,540.0
